Food_ID,Food_Name,Packaging_ID,Packaging_Material,Material_Category,Structure_Type,Deterministic_Compatibility_Class,Deterministic_Score,Evidence_Coverage_Ratio,Requirement_Match_Score,Requirement_Dimensions_Scored,Requirement_Candidate_Score,MAP_Request,MAP_Request_Flag,Requirement_Reasons,Eligible,Rank
FRU_019,Avocado,PM019,PS,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,8
FRU_019,Avocado,PM020,HIPS,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,9
FRU_019,Avocado,PM021,EPS,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,10
FRU_019,Avocado,PM022,PLA,Biodegradable polymer,Polymer film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,11
FRU_019,Avocado,PM023,PHA,Biodegradable polymer,Polymer film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,12
FRU_019,Avocado,PM024,Cellulose film,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,13
FRU_019,Avocado,PM025,Coated cellulose film,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,14
FRU_019,Avocado,PM026,Kraft paper,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,15
FRU_019,Avocado,PM027,Coated paper,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,16
FRU_019,Avocado,PM028,Glassine paper,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,17
FRU_019,Avocado,PM038,Micro-perforated PE film,Fresh-produce breathable film,Perforated film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,18
FRU_019,Avocado,PM039,Micro-perforated PP film,Fresh-produce breathable film,Perforated film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,19
FRU_019,Avocado,PM040,Breathable cellulose film,Fresh-produce breathable film,Breathable film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,20
FRU_019,Avocado,PM004,HDPE,Polymer film,Single polymer/coating,Low_Compatibility,41.67,0.6666666666666666,,0,51.6709,,,,True,21
FRU_019,Avocado,PM031,PET/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,41.67,0.6666666666666666,,0,51.6709,,,,True,22
FRU_019,Avocado,PM033,PET/CPP laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,41.67,0.6666666666666666,,0,51.6709,,,,True,23
FRU_019,Avocado,PM037,BOPP/CPP laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,41.67,0.6666666666666666,,0,51.6709,,,,True,24
FRU_019,Avocado,PM005,PP,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,25
FRU_019,Avocado,PM006,CPP,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,26
FRU_019,Avocado,PM008,Metallized BOPP,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,27
FRU_019,Avocado,PM009,PET,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,28
FRU_019,Avocado,PM010,BOPET,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,29
FRU_019,Avocado,PM011,Metallized PET,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,30
FRU_019,Avocado,PM012,PVdC-coated PET,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,31
FRU_019,Avocado,PM016,PVdC,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,32
FRU_019,Avocado,PM017,PVC rigid,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,33
FRU_019,Avocado,PM029,Aluminum foil,Metal,Rigid/foil metal,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,34
FRU_019,Avocado,PM030,Tinplate steel,Metal,Rigid/foil metal,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,35
FRU_019,Avocado,PM032,PA/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,36
FRU_019,Avocado,PM034,PET/Al/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,37
FRU_019,Avocado,PM035,PET/EVOH/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,38
FRU_019,Avocado,PM036,PE/PA/EVOH/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,39
FRU_019,Avocado,PM015,EVOH,Polymer film,Single polymer/coating,Insufficient_Evidence,,0.0,,0,,,,Excluded from recommendation pool because deterministic evidence is insufficient,False,40
FRU_002,Banana,PM001,LDPE,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,1
FRU_002,Banana,PM002,LLDPE,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,2
FRU_002,Banana,PM003,MDPE,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,3
FRU_002,Banana,PM007,BOPP,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,4
